Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[255, 0, 0]",0,25,0.46084797,1,3,327,C,Overt,4
"[255, 0, 0]",0,0,0.48173711,1,3,332,C,Overt,4
"[255, 0, 0]",2,10,0.41192766,1,3,335,C,Overt,4
"[255, 0, 0]",0,20,0.44552217,1,3,336,C,Overt,4
"[255, 0, 0]",0,30,0.39356812,1,3,338,C,Overt,4
"[255, 0, 0]",2,20,0.34251213,1,3,343,C,Overt,4
"[255, 0, 0]",2,10,0.44946988,1,3,345,C,Overt,4
"[255, 0, 0]",0,20,0.45108343,0,3,346,C,Overt,4
"[255, 0, 0]",2,0,0.39428779,1,3,348,C,Overt,4
"[255, 0, 0]",0,5,0.36049716,1,3,349,C,Overt,4
"[255, 0, 0]",0,35,0.4992998,1,3,352,C,Overt,4
"[255, 0, 0]",0,5,0.37973974,1,3,353,C,Overt,4
"[255, 0, 0]",0,35,0.44212883,1,3,355,C,Overt,4
"[255, 0, 0]",0,40,0.43175138,1,3,357,C,Overt,4
"[255, 0, 0]",0,5,0.61703258,1,3,358,C,Overt,4
"[255, 0, 0]",0,5,0.3868415,1,3,366,C,Overt,4
"[255, 0, 0]",0,40,0.48800251,1,3,368,C,Overt,4
"[255, 0, 0]",2,20,0.45419155,1,3,369,C,Overt,4
"[255, 0, 0]",2,30,0.45922993,1,3,370,C,Overt,4
"[255, 0, 0]",0,10,0.4293742,1,3,371,C,Overt,4
"[255, 0, 0]",0,30,0.67360047,1,3,377,C,Overt,4
"[255, 0, 0]",2,0,0.55090708,1,3,379,C,Overt,4
"[255, 0, 0]",2,0,0.3874154,1,3,380,C,Overt,4
"[255, 0, 0]",2,30,0.40134972,1,3,381,C,Overt,4
"[255, 0, 0]",0,15,0.42172307,1,3,390,C,Overt,4
"[255, 0, 0]",2,5,0.42096216,1,3,391,C,Overt,4
"[255, 0, 0]",0,40,0.54553591,1,3,400,C,Overt,4
"[255, 0, 0]",0,0,0.39931238,1,3,401,C,Overt,4
"[255, 0, 0]",0,15,0.3946263,1,3,402,C,Overt,4
"[255, 0, 0]",0,35,0.50776849,1,3,404,C,Overt,4
"[255, 0, 0]",2,5,0.41059307,1,3,405,C,Overt,4
"[255, 0, 0]",2,10,0.64349725,1,3,406,C,Overt,4
"[255, 0, 0]",0,25,0.42084411,1,3,407,C,Overt,4
"[255, 0, 0]",2,40,0.37823269,0,3,409,C,Overt,4
"[255, 0, 0]",2,40,0.32246628,1,3,411,C,Overt,4
"[255, 0, 0]",2,15,0.4598638,1,3,417,C,Overt,4
"[255, 0, 0]",0,15,0.37140226,1,3,423,C,Overt,4
"[255, 0, 0]",0,20,0.41045269,1,3,429,C,Overt,4
"[255, 0, 0]",2,30,0.40151238,1,3,431,C,Overt,4
"[255, 0, 0]",2,30,0.43841241,1,3,433,C,Overt,4
"[255, 0, 0]",0,30,0.42319289,1,3,439,C,Overt,4
"[255, 0, 0]",0,25,0.38785024,1,3,440,C,Overt,4
"[255, 0, 0]",2,20,0.42937188,1,3,441,C,Overt,4
"[255, 0, 0]",0,10,0.3679545,1,3,443,C,Overt,4
"[255, 0, 0]",2,0,0.42418924,1,3,446,C,Overt,4
"[255, 0, 0]",0,10,0.48931386,1,3,448,C,Overt,4
"[255, 0, 0]",0,35,0.48628757,1,3,453,C,Overt,4
"[255, 0, 0]",0,20,0.38899572,1,3,455,C,Overt,4
"[255, 0, 0]",0,0,0.40178209,1,3,458,C,Overt,4
"[255, 0, 0]",2,10,0.33621297,1,3,459,C,Overt,4
"[255, 0, 0]",0,20,0.33733772,1,3,463,C,Overt,4
"[255, 0, 0]",0,20,0.36649134,1,3,468,C,Overt,4
"[255, 0, 0]",0,25,0.43273981,1,3,470,C,Overt,4
"[255, 0, 0]",0,25,0.39674712,1,3,471,C,Overt,4
"[255, 0, 0]",0,20,0.35827492,1,3,472,C,Overt,4
"[255, 0, 0]",2,10,0.35614072,1,3,475,C,Overt,4
"[255, 0, 0]",2,20,0.65328405,1,3,478,C,Overt,4
"[255, 0, 0]",2,20,0.47601217,0,3,481,C,Overt,4
"[255, 0, 0]",0,40,0.49183356,1,3,484,C,Overt,4
"[255, 0, 0]",0,0,0.36951431,1,3,487,C,Overt,4
"[255, 0, 0]",0,0,0.45359052,1,3,492,C,Overt,4
"[255, 0, 0]",2,30,0.37139833,1,3,498,C,Overt,4
"[255, 0, 0]",2,25,0.35677038,1,3,507,C,Overt,4
"[255, 0, 0]",2,35,0.37973417,1,3,508,C,Overt,4
"[255, 0, 0]",2,20,0.4196089,1,3,518,C,Overt,4
"[255, 0, 0]",2,35,0.50572923,1,3,524,C,Overt,4
"[255, 0, 0]",2,25,0.55600227,1,3,526,C,Overt,4
"[255, 0, 0]",2,30,0.44609267,1,3,527,C,Overt,4
"[255, 0, 0]",0,15,0.45079934,1,3,528,C,Overt,4
"[255, 0, 0]",0,20,0.41267953,1,3,529,C,Overt,4
"[255, 0, 0]",2,10,0.35157815,1,3,530,C,Overt,4
"[255, 0, 0]",0,15,0.39479138,1,3,535,C,Overt,4
"[255, 0, 0]",0,5,0.39783345,1,3,538,C,Overt,4
"[255, 0, 0]",2,35,0.39029583,1,3,539,C,Overt,4
"[255, 0, 0]",2,15,0.45311086,1,3,542,C,Overt,4
"[255, 0, 0]",2,20,0.34480185,0,3,548,C,Overt,4
"[255, 0, 0]",0,0,0.40716933,1,3,554,C,Overt,4
"[255, 0, 0]",0,35,0.40658489,1,3,555,C,Overt,4
"[255, 0, 0]",0,20,0.37022092,1,3,556,C,Overt,4
"[255, 0, 0]",2,30,0.4489024,1,3,557,C,Overt,4
"[255, 0, 0]",0,5,0.24866139,1,3,289,D,Overt,4
"[255, 0, 0]",2,10,0.36121998,1,3,291,D,Overt,4
"[255, 0, 0]",2,30,0.33324225,1,3,296,D,Overt,4
"[255, 0, 0]",2,20,0.25490198,1,3,298,D,Overt,4
"[255, 0, 0]",0,5,0.2573432,0,3,299,D,Overt,4
"[255, 0, 0]",2,10,0.24046281,1,3,301,D,Overt,4
"[255, 0, 0]",0,20,0.2291542,0,3,302,D,Overt,4
"[255, 0, 0]",2,25,0.23826197,1,3,303,D,Overt,4
"[255, 0, 0]",0,40,0.38456319,1,3,306,D,Overt,4
"[255, 0, 0]",0,35,0.29842803,0,3,309,D,Overt,4
"[255, 0, 0]",2,5,0.36206846,1,3,310,D,Overt,4
"[255, 0, 0]",2,35,0.33691176,1,3,311,D,Overt,4
"[255, 0, 0]",0,5,0.28735832,1,3,312,D,Overt,4
"[255, 0, 0]",2,15,0.36936631,1,3,314,D,Overt,4
"[255, 0, 0]",0,30,0.31562989,1,3,316,D,Overt,4
"[255, 0, 0]",2,40,0.26160463,1,3,317,D,Overt,4
"[255, 0, 0]",0,30,0.34314932,1,3,319,D,Overt,4
"[255, 0, 0]",0,40,0.26684847,1,3,321,D,Overt,4
"[255, 0, 0]",0,40,0.36029585,1,3,324,D,Overt,4
"[255, 0, 0]",0,40,0.37450545,1,3,330,D,Overt,4
"[255, 0, 0]",0,30,0.35164393,1,3,333,D,Overt,4
"[255, 0, 0]",0,10,0.36427125,1,3,336,D,Overt,4
"[255, 0, 0]",0,35,0.3642306,1,3,344,D,Overt,4
"[255, 0, 0]",2,30,0.29777122,0,3,346,D,Overt,4
"[255, 0, 0]",2,15,0.22822772,1,3,349,D,Overt,4
"[255, 0, 0]",2,40,0.32237615,0,3,353,D,Overt,4
"[255, 0, 0]",0,15,0.43576035,1,3,358,D,Overt,4
"[255, 0, 0]",0,20,0.28862629,1,3,359,D,Overt,4
"[255, 0, 0]",2,30,0.27502453,1,3,360,D,Overt,4
"[255, 0, 0]",2,15,0.34883655,1,3,362,D,Overt,4
"[255, 0, 0]",2,20,0.36849463,1,3,372,D,Overt,4
"[255, 0, 0]",0,10,0.22832344,0,3,375,D,Overt,4
"[255, 0, 0]",0,15,0.41462519,1,3,376,D,Overt,4
"[255, 0, 0]",0,0,0.34626706,1,3,378,D,Overt,4
"[255, 0, 0]",2,20,0.36443498,1,3,379,D,Overt,4
"[255, 0, 0]",2,25,0.45077009,1,3,385,D,Overt,4
"[255, 0, 0]",0,0,0.31448203,1,3,390,D,Overt,4
"[255, 0, 0]",0,30,0.33976776,1,3,393,D,Overt,4
