Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",0,40,0.40055926,1,1,9,C,Covert,4,
"[255, 0, 0]",0,30,0.1992371,1,1,10,C,Covert,4,
"[255, 0, 0]",2,20,0.18563251,1,1,11,C,Covert,4,
"[255, 0, 0]",0,15,0.34228047,1,1,12,C,Covert,4,
"[255, 0, 0]",2,30,0.21165416,1,1,13,C,Covert,4,
"[255, 0, 0]",0,0,0.23668789,1,1,14,C,Covert,4,
"[255, 0, 0]",0,30,0.26915484,1,1,15,C,Covert,4,
"[255, 0, 0]",0,35,0.19865498,1,1,16,C,Covert,4,
"[255, 0, 0]",2,35,0.30677468,1,1,17,C,Covert,4,
"[255, 0, 0]",2,25,0.12803153,1,1,18,C,Covert,4,
"[255, 0, 0]",0,5,0.26536195,1,1,19,C,Covert,4,
"[255, 0, 0]",2,40,0.23326345,1,1,20,C,Covert,4,
"[255, 0, 0]",0,10,0.21133955,1,1,21,C,Covert,4,
"[255, 0, 0]",2,0,0.23864706,1,1,22,C,Covert,4,
"[255, 0, 0]",0,25,0.22988996,1,1,23,C,Covert,4,
"[255, 0, 0]",2,40,0.30984029,1,1,24,C,Covert,4,
"[255, 0, 0]",0,25,0.24238449,1,1,25,C,Covert,4,
"[255, 0, 0]",0,5,0.28222076,1,1,26,C,Covert,4,
"[255, 0, 0]",0,15,0.27133049,1,1,27,C,Covert,4,
"[255, 0, 0]",2,15,0.2433199,1,1,28,C,Covert,4,
"[255, 0, 0]",0,10,0.32043572,1,1,29,C,Covert,4,
"[255, 0, 0]",0,25,0.31116693,1,1,30,C,Covert,4,
"[255, 0, 0]",0,15,0.24663888,1,1,31,C,Covert,4,
"[255, 0, 0]",0,20,0.29508718,1,1,32,C,Covert,4,
"[255, 0, 0]",2,20,0.22176976,1,1,33,C,Covert,4,
"[255, 0, 0]",2,35,0.26230237,1,1,34,C,Covert,4,
"[255, 0, 0]",0,10,0.21545903,1,1,35,C,Covert,4,
"[255, 0, 0]",2,0,0.25581486,1,1,36,C,Covert,4,
"[255, 0, 0]",0,35,0.33061472,1,1,37,C,Covert,4,
"[255, 0, 0]",0,40,0.33337128,1,1,38,C,Covert,4,
"[255, 0, 0]",0,15,0.3272148,1,1,39,C,Covert,4,
"[255, 0, 0]",2,15,0.21940718,1,1,40,C,Covert,4,
"[255, 0, 0]",2,35,0.24006044,1,1,41,C,Covert,4,
"[255, 0, 0]",0,5,0.21433965,1,1,42,C,Covert,4,
"[255, 0, 0]",2,5,0.24355385,1,1,43,C,Covert,4,
"[255, 0, 0]",2,15,0.26926996,1,1,44,C,Covert,4,
"[255, 0, 0]",2,40,0.250549,1,1,45,C,Covert,4,
"[255, 0, 0]",0,30,0.28538622,1,1,46,C,Covert,4,
"[255, 0, 0]",2,25,0.25578712,1,1,47,C,Covert,4,
"[255, 0, 0]",0,10,0.25522477,1,1,48,C,Covert,4,
"[255, 0, 0]",0,25,0.26561846,1,1,49,C,Covert,4,
"[255, 0, 0]",0,5,0.29659504,1,1,50,C,Covert,4,
"[255, 0, 0]",2,5,0.23672697,1,1,51,C,Covert,4,
"[255, 0, 0]",0,0,0.24770732,1,1,52,C,Covert,4,
"[255, 0, 0]",2,5,0.23532889,1,1,53,C,Covert,4,
"[255, 0, 0]",2,30,0.2547824,1,1,54,C,Covert,4,
"[255, 0, 0]",2,30,0.29707953,1,1,55,C,Covert,4,
"[255, 0, 0]",2,0,0.79694367,1,1,56,C,Covert,4,
"[255, 0, 0]",2,25,0.13769383,1,1,57,C,Covert,4,
"[255, 0, 0]",2,5,-0.0037652,1,1,58,C,Covert,4,
"[255, 0, 0]",0,35,1.02302665,1,1,59,C,Covert,4,
"[255, 0, 0]",0,20,0.18214706,1,1,60,C,Covert,4,
"[255, 0, 0]",2,30,0.37751408,1,1,61,C,Covert,4,
"[255, 0, 0]",0,40,0.18314493,1,1,62,C,Covert,4,
"[255, 0, 0]",0,20,0.15583865,1,1,63,C,Covert,4,
"[255, 0, 0]",0,35,0.22512278,1,1,64,C,Covert,4,
"[255, 0, 0]",0,0,0.44651184,1,1,65,C,Covert,4,
"[255, 0, 0]",2,10,0.23314365,1,1,66,C,Covert,4,
"[255, 0, 0]",2,15,0.15075111,1,1,67,C,Covert,4,
"[255, 0, 0]",2,10,0.13757798,1,1,68,C,Covert,4,
"[255, 0, 0]",2,20,0.14975054,1,1,69,C,Covert,4,
"[255, 0, 0]",0,40,-0.0619949,1,1,70,C,Covert,4,
"[255, 0, 0]",2,40,0.10408784,1,1,71,C,Covert,4,
"[255, 0, 0]",0,20,0.33747336,1,1,72,C,Covert,4,
"[255, 0, 0]",0,25,0.31461426,1,1,1,D,Covert,4,
"[255, 0, 0]",2,30,0.27928668,1,1,2,D,Covert,4,
"[255, 0, 0]",0,20,0.30080925,1,1,3,D,Covert,4,
"[255, 0, 0]",0,5,0.26280165,1,1,4,D,Covert,4,
"[255, 0, 0]",2,25,0.32784819,1,1,5,D,Covert,4,
"[255, 0, 0]",2,5,0.183952,1,1,6,D,Covert,4,
"[255, 0, 0]",0,30,0.18521712,1,1,7,D,Covert,4,
"[255, 0, 0]",0,0,0.21209974,1,1,8,D,Covert,4,
"[255, 0, 0]",2,20,0.23112161,1,1,9,D,Covert,4,
"[255, 0, 0]",0,15,0.23307107,1,1,10,D,Covert,4,
"[255, 0, 0]",2,0,0.24292851,1,1,11,D,Covert,4,
"[255, 0, 0]",0,25,0.22488432,1,1,12,D,Covert,4,
"[255, 0, 0]",2,20,0.231428,1,1,13,D,Covert,4,
"[255, 0, 0]",0,15,0.20285224,1,1,14,D,Covert,4,
"[255, 0, 0]",0,20,0.22136019,1,1,15,D,Covert,4,
"[255, 0, 0]",2,25,0.22455146,1,1,16,D,Covert,4,
"[255, 0, 0]",0,5,0.17360825,1,1,17,D,Covert,4,
"[255, 0, 0]",2,0,0.26834921,1,1,18,D,Covert,4,
"[255, 0, 0]",0,15,0.24563549,1,1,19,D,Covert,4,
"[255, 0, 0]",2,35,0.20777585,1,1,20,D,Covert,4,
"[255, 0, 0]",0,35,0.23682916,1,1,21,D,Covert,4,
"[255, 0, 0]",2,15,0.25115967,1,1,22,D,Covert,4,
"[255, 0, 0]",0,5,0.25246157,1,1,23,D,Covert,4,
"[255, 0, 0]",0,0,0.22218232,1,1,24,D,Covert,4,
"[255, 0, 0]",0,10,0.24436185,1,1,25,D,Covert,4,
"[255, 0, 0]",2,30,0.23320186,1,1,26,D,Covert,4,
"[255, 0, 0]",0,20,0.1986059,1,1,27,D,Covert,4,
"[255, 0, 0]",2,0,0.23001567,1,1,28,D,Covert,4,
"[255, 0, 0]",2,40,0.22318226,1,1,29,D,Covert,4,
"[255, 0, 0]",0,10,0.25567381,1,1,30,D,Covert,4,
"[255, 0, 0]",2,30,0.27399999,1,1,31,D,Covert,4,
"[255, 0, 0]",0,25,0.28425646,1,1,32,D,Covert,4,
"[255, 0, 0]",2,15,0.22963612,1,1,33,D,Covert,4,
"[255, 0, 0]",0,15,0.19305161,1,1,34,D,Covert,4,
"[255, 0, 0]",2,25,0.22521888,1,1,35,D,Covert,4,
"[255, 0, 0]",2,5,0.26811226,1,1,36,D,Covert,4,
"[255, 0, 0]",0,35,0.21508908,1,1,37,D,Covert,4,
"[255, 0, 0]",2,20,0.23859846,1,1,38,D,Covert,4,
"[255, 0, 0]",2,35,0.2636749,1,1,39,D,Covert,4,
"[255, 0, 0]",0,40,0.26054079,1,1,40,D,Covert,4,
"[255, 0, 0]",0,35,0.24399062,1,1,41,D,Covert,4,
"[255, 0, 0]",0,0,0.21141344,1,1,42,D,Covert,4,
"[255, 0, 0]",2,15,0.19838422,1,1,43,D,Covert,4,
"[255, 0, 0]",0,10,0.23543077,1,1,44,D,Covert,4,
"[255, 0, 0]",2,40,0.23979615,1,1,45,D,Covert,4,
"[255, 0, 0]",2,10,0.21641343,1,1,46,D,Covert,4,
"[255, 0, 0]",2,15,0.23905425,1,1,47,D,Covert,4,
