Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",2,0,0.27205442,1,1,28,D,Overt,4,
"[255, 0, 0]",0,25,0.2653976,1,1,29,D,Overt,4,
"[255, 0, 0]",2,35,0.29233645,1,1,30,D,Overt,4,
"[255, 0, 0]",0,40,0.26154233,1,1,31,D,Overt,4,
"[255, 0, 0]",2,0,0.25627288,1,1,32,D,Overt,4,
"[255, 0, 0]",0,5,0.30840307,1,1,33,D,Overt,4,
"[255, 0, 0]",2,40,0.22397378,1,1,34,D,Overt,4,
"[255, 0, 0]",0,20,0.24058138,1,1,35,D,Overt,4,
"[255, 0, 0]",0,5,0.28665626,1,1,36,D,Overt,4,
"[255, 0, 0]",0,10,0.21515242,1,1,37,D,Overt,4,
"[255, 0, 0]",2,15,0.25133437,1,1,38,D,Overt,4,
"[255, 0, 0]",2,40,0.24133928,1,1,39,D,Overt,4,
"[255, 0, 0]",2,40,0.22186489,1,1,40,D,Overt,4,
"[255, 0, 0]",0,40,0.24073723,1,1,41,D,Overt,4,
"[255, 0, 0]",0,0,0.21178762,1,1,42,D,Overt,4,
"[255, 0, 0]",2,0,0.21949323,1,1,43,D,Overt,4,
"[255, 0, 0]",0,35,0.24605778,1,1,44,D,Overt,4,
"[255, 0, 0]",2,15,0.2281251,1,1,45,D,Overt,4,
"[255, 0, 0]",0,40,0.06881659,1,1,46,D,Overt,4,
"[255, 0, 0]",2,35,0.25332287,1,1,47,D,Overt,4,
"[255, 0, 0]",0,25,0.27126453,1,1,48,D,Overt,4,
"[255, 0, 0]",2,30,0.24177943,1,1,49,D,Overt,4,
"[255, 0, 0]",0,10,0.22013379,1,1,50,D,Overt,4,
"[255, 0, 0]",0,30,0.23968416,1,1,51,D,Overt,4,
"[255, 0, 0]",0,0,0.29082538,1,1,52,D,Overt,4,
"[255, 0, 0]",2,5,0.32973742,1,1,53,D,Overt,4,
"[255, 0, 0]",0,15,0.32472234,1,1,54,D,Overt,4,
"[255, 0, 0]",2,35,0.28090725,1,1,55,D,Overt,4,
"[255, 0, 0]",0,15,0.28098098,1,1,56,D,Overt,4,
"[255, 0, 0]",2,5,0.2750141,1,1,57,D,Overt,4,
"[255, 0, 0]",2,5,0.22807326,1,1,58,D,Overt,4,
"[255, 0, 0]",2,10,0.28353095,1,1,59,D,Overt,4,
"[255, 0, 0]",2,30,0.26434868,1,1,60,D,Overt,4,
"[255, 0, 0]",0,35,0.24825311,1,1,61,D,Overt,4,
"[255, 0, 0]",2,30,0.22918949,1,1,62,D,Overt,4,
"[255, 0, 0]",0,10,0.25204238,1,1,63,D,Overt,4,
"[255, 0, 0]",2,30,0.3804812,1,1,64,D,Overt,4,
"[255, 0, 0]",2,40,0.24097326,1,1,65,D,Overt,4,
"[255, 0, 0]",0,15,0.27040328,1,1,66,D,Overt,4,
"[255, 0, 0]",0,40,0.25370852,1,1,67,D,Overt,4,
"[255, 0, 0]",0,5,0.2324879,1,1,68,D,Overt,4,
"[255, 0, 0]",0,25,0.21532625,1,1,69,D,Overt,4,
"[255, 0, 0]",0,35,0.25810096,1,1,70,D,Overt,4,
"[255, 0, 0]",0,15,0.27670648,1,1,71,D,Overt,4,
"[255, 0, 0]",2,25,0.2013197,1,1,72,D,Overt,4,
"[255, 0, 0]",2,20,0.24135945,1,1,1,D,Overt,4,
"[255, 0, 0]",2,15,0.24730433,1,1,2,D,Overt,4,
"[255, 0, 0]",0,10,0.13053708,1,1,3,D,Overt,4,
"[255, 0, 0]",0,10,0.23290449,1,1,4,D,Overt,4,
"[255, 0, 0]",0,35,0.25124277,1,1,5,D,Overt,4,
"[255, 0, 0]",0,25,0.28585658,1,1,6,D,Overt,4,
"[255, 0, 0]",2,40,0.23132524,1,1,7,D,Overt,4,
"[255, 0, 0]",2,10,0.22555286,1,1,8,D,Overt,4,
"[255, 0, 0]",2,40,0.24074059,1,1,9,D,Overt,4,
"[255, 0, 0]",2,40,0.28185487,1,1,10,D,Overt,4,
"[255, 0, 0]",2,25,0.24308531,1,1,11,D,Overt,4,
"[255, 0, 0]",0,30,0.22025021,1,1,12,D,Overt,4,
"[255, 0, 0]",0,10,0.20077499,1,1,13,D,Overt,4,
"[255, 0, 0]",0,40,0.27701204,1,1,14,D,Overt,4,
"[255, 0, 0]",2,10,0.19666104,1,1,15,D,Overt,4,
"[255, 0, 0]",2,30,0.21355812,1,1,16,D,Overt,4,
"[255, 0, 0]",2,0,0.24534513,1,1,17,D,Overt,4,
"[255, 0, 0]",2,15,0.2446483,1,1,18,D,Overt,4,
"[255, 0, 0]",0,10,0.209421,1,1,19,D,Overt,4,
"[255, 0, 0]",0,40,0.21926738,1,1,20,D,Overt,4,
"[255, 0, 0]",0,35,0.29111461,1,1,21,D,Overt,4,
