Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[0, 0, 255]",0,5,0.38054923,1,3,373,C,Overt,4
"[0, 0, 255]",2,30,0.41318823,1,3,374,C,Overt,4
"[0, 0, 255]",2,10,0.37775397,1,3,379,C,Overt,4
"[0, 0, 255]",0,5,0.27669516,1,3,380,C,Overt,4
"[0, 0, 255]",2,15,0.37019702,1,3,385,C,Overt,4
"[0, 0, 255]",2,15,0.37155065,1,3,389,C,Overt,4
"[0, 0, 255]",0,20,0.30450385,1,3,390,C,Overt,4
"[0, 0, 255]",0,35,0.33098208,1,3,395,C,Overt,4
"[0, 0, 255]",0,10,0.29794804,1,3,400,C,Overt,4
"[0, 0, 255]",2,0,0.36307986,1,3,405,C,Overt,4
"[0, 0, 255]",0,35,0.34864486,1,3,407,C,Overt,4
"[0, 0, 255]",2,35,0.33254778,1,3,408,C,Overt,4
"[0, 0, 255]",0,0,0.30422015,0,3,416,C,Overt,4
"[0, 0, 255]",0,40,0.40353255,1,3,423,C,Overt,4
"[0, 0, 255]",2,10,0.2266525,0,3,434,C,Overt,4
"[0, 0, 255]",0,25,0.32002793,1,3,438,C,Overt,4
"[0, 0, 255]",0,0,0.26307574,0,3,444,C,Overt,4
"[0, 0, 255]",2,35,0.37258479,1,3,450,C,Overt,4
"[0, 0, 255]",0,0,0.38659862,1,3,453,C,Overt,4
"[0, 0, 255]",0,20,0.41673958,1,3,460,C,Overt,4
"[0, 0, 255]",0,15,0.43477447,1,3,462,C,Overt,4
"[0, 0, 255]",2,35,0.4253182,1,3,464,C,Overt,4
"[0, 0, 255]",0,30,0.33947615,1,3,468,C,Overt,4
"[0, 0, 255]",2,5,0.37941509,1,3,472,C,Overt,4
"[0, 0, 255]",2,25,0.38538867,1,3,474,C,Overt,4
"[0, 0, 255]",2,10,0.43415997,1,3,479,C,Overt,4
"[0, 0, 255]",0,0,0.2643849,0,3,481,C,Overt,4
"[0, 0, 255]",0,20,0.35868695,1,3,488,C,Overt,4
"[0, 0, 255]",0,10,0.49046041,1,3,494,C,Overt,4
"[0, 0, 255]",0,20,0.36321255,1,3,495,C,Overt,4
"[0, 0, 255]",2,0,0.38529321,1,3,498,C,Overt,4
"[0, 0, 255]",2,10,0.47879182,1,3,502,C,Overt,4
"[0, 0, 255]",0,15,0.39568612,1,3,505,C,Overt,4
"[0, 0, 255]",0,20,0.45733458,1,3,507,C,Overt,4
"[0, 0, 255]",2,0,0.39993992,1,3,510,C,Overt,4
"[0, 0, 255]",2,0,0.36027647,1,3,512,C,Overt,4
"[0, 0, 255]",0,15,0.41856387,1,3,514,C,Overt,4
"[0, 0, 255]",0,10,0.37140368,1,3,516,C,Overt,4
"[0, 0, 255]",0,5,0.41076715,1,3,520,C,Overt,4
"[0, 0, 255]",2,20,0.42293261,1,3,521,C,Overt,4
"[0, 0, 255]",0,0,0.31232268,1,3,522,C,Overt,4
"[0, 0, 255]",0,0,0.40158738,1,3,523,C,Overt,4
"[0, 0, 255]",0,15,0.35009443,1,3,524,C,Overt,4
"[0, 0, 255]",2,20,0.47289929,1,3,527,C,Overt,4
"[0, 0, 255]",0,30,0.41741317,1,3,531,C,Overt,4
"[0, 0, 255]",2,25,0.47519646,1,3,539,C,Overt,4
"[0, 0, 255]",2,5,0.3662483,0,3,541,C,Overt,4
"[0, 0, 255]",0,0,0.35162578,1,3,542,C,Overt,4
"[0, 0, 255]",2,15,0.42736005,1,3,545,C,Overt,4
"[0, 0, 255]",2,30,2.35645122,1,3,546,C,Overt,4
"[0, 0, 255]",2,15,0.30644883,0,3,556,C,Overt,4
"[0, 0, 255]",0,25,0.3922727,1,3,557,C,Overt,4
"[0, 0, 255]",2,25,0.28149042,1,3,558,C,Overt,4
"[0, 0, 255]",2,0,0.39060944,1,3,293,C,Overt,4
"[0, 0, 255]",0,10,0.45325303,1,3,297,C,Overt,4
"[0, 0, 255]",0,5,0.47123318,1,3,307,C,Overt,4
"[0, 0, 255]",0,0,0.35018188,1,3,313,C,Overt,4
"[0, 0, 255]",0,5,0.36404758,1,3,317,C,Overt,4
"[0, 0, 255]",0,10,0.42481048,1,3,322,C,Overt,4
"[0, 0, 255]",0,30,0.42672145,1,3,324,C,Overt,4
"[0, 0, 255]",2,10,0.2819249,0,3,325,C,Overt,4
"[0, 0, 255]",0,0,0.55035816,1,3,328,C,Overt,4
"[0, 0, 255]",2,20,0.42829511,1,3,333,C,Overt,4
"[0, 0, 255]",0,5,0.40177893,1,3,338,C,Overt,4
"[0, 0, 255]",2,40,0.49715674,1,3,340,C,Overt,4
"[0, 0, 255]",2,5,0.45622969,1,3,343,C,Overt,4
"[0, 0, 255]",0,30,0.4286619,1,3,347,C,Overt,4
"[0, 0, 255]",0,0,0.39721756,1,3,349,C,Overt,4
"[0, 0, 255]",2,40,0.22574581,1,3,350,C,Overt,4
"[0, 0, 255]",2,30,0.39120995,1,3,351,C,Overt,4
"[0, 0, 255]",0,40,0.44801026,1,3,353,C,Overt,4
"[0, 0, 255]",0,15,0.41211939,1,3,354,C,Overt,4
"[0, 0, 255]",0,20,0.32589812,1,3,355,C,Overt,4
"[0, 0, 255]",0,20,0.53899843,1,3,369,C,Overt,4
"[0, 0, 255]",2,5,0.27699594,0,3,371,C,Overt,4
"[0, 0, 255]",0,30,0.44127711,1,3,374,C,Overt,4
"[0, 0, 255]",2,25,0.40080393,1,3,375,C,Overt,4
"[0, 0, 255]",2,0,0.3587052,1,3,377,C,Overt,4
"[0, 0, 255]",2,10,0.46325879,1,3,379,C,Overt,4
"[0, 0, 255]",0,40,0.75786233,1,3,380,C,Overt,4
"[0, 0, 255]",2,40,0.41276709,1,3,382,C,Overt,4
"[0, 0, 255]",0,5,0.32582592,1,3,383,C,Overt,4
"[0, 0, 255]",2,0,0.51817992,1,3,384,C,Overt,4
"[0, 0, 255]",0,30,0.28974365,1,3,385,C,Overt,4
